"Position","Title","Domain","Ref Domains","Alexa Rank","Matches","Matched Links","External Referring URLs","Indexed URLs","Crawled URLs","First Crawled","Last Successful Crawl","IP","SubNet","Country Code","TLD","Trust Flow","Citation Flow","Topical Trust Flow Topic 0","Topical Trust Flow Value 0","Topical Trust Flow Topic 1","Topical Trust Flow Value 1","Topical Trust Flow Topic 2","Topical Trust Flow Value 2","Topical Trust Flow Topic 3","Topical Trust Flow Value 3","Topical Trust Flow Topic 4","Topical Trust Flow Value 4","Topical Trust Flow Topic 5","Topical Trust Flow Value 5","Topical Trust Flow Topic 6","Topical Trust Flow Value 6","Topical Trust Flow Topic 7","Topical Trust Flow Value 7","Topical Trust Flow Topic 8","Topical Trust Flow Value 8","Topical Trust Flow Topic 9","Topical Trust Flow Value 9","Links Per Crawled Url","Outlink Checked Pages","Average Internal Outlinks Per Page","Average External Outlinks Per Page","Average Total Outlinks Per Page","Average External Domains Per Page","Domain Language 0","Domain Language Page Ratio 0","Domain Language 1","Domain Language Page Ratio 1","Domain Language 2","Domain Language Page Ratio 2","Total Inbound Links","Supplemental","Live","Lost","From Deep Links","From Homepages","Direct","Indirect","Follow","NoFollow","HTTP","HTTPS","Redirect","Text Link","Image Link","Frame","In Bucket"
332,"Torrent KK","kktor.com",3,-1,0,6,3,1260715,389814,23/10/2024,24/01/2025,"185.224.83.19","185.224.83.0","NL","com",0,7,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,152565,37,2,39,2,"en",92.8,"da",2.7,"it",0.6,6,0,6,0,6,0,6,0,6,0,6,0,0,6,0,0,
333,,"etfhomepage.com",12,-1,0,6,23,3169,2114,18/11/2024,09/02/2025,"199.59.243.228","199.59.243.0","US","com",0,9,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,883,26,64,90,20,"en",99.9,,,,,6,0,2,4,6,0,6,0,6,0,6,0,0,6,0,0,
334,"Download APK Apps for Android - SHSTA","shsta.com",5,-1,0,6,20,1214187,245768,23/10/2024,18/02/2025,"104.21.64.1","104.21.64.0","US","com",0,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,99768,76,0,76,0,"bn",34.8,"de",31.0,"en",17.0,6,0,6,0,6,0,6,0,6,0,0,6,0,6,0,0,
335,"دليل الوطن - دليلك الإخباري المحلي والدولي تغطية أخبارية","alwatan140.com",43,-1,0,6,9468,60241,20830,23/10/2024,11/02/2025,"104.21.96.1","104.21.96.0","US","com",0,32,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,17734,32,6,38,4,"ar",99.2,"en",0.7,,,6,0,6,0,6,0,6,0,2,4,0,6,0,6,0,0,
336,"GameCard.ma | The Best Source for US & EU Game Cards","gamecard.ma",3,-1,0,6,4,414,409,13/11/2024,17/02/2025,"65.109.88.202","65.109.88.0","US","ma",0,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.01,402,49,3,52,3,"en",100.0,,,,,8,2,8,0,8,0,8,0,8,0,0,8,0,6,2,0,
337,"FlickFrugal - Free Streaming Guide for Movies and TV Shows","flickfrugal.com",8,-1,0,6,9,32296,32294,01/12/2024,18/02/2025,"104.21.80.1","104.21.80.0","US","com",0,15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,31768,29,6,35,6,"en",98.4,"da",1.3,,,18,12,18,0,18,0,18,0,0,18,0,18,0,6,12,0,
338,"اخبار كورة","akhbarkora.com",31,-1,0,6,35,852709,335104,22/10/2024,15/02/2025,"172.67.159.48","172.67.159.0","US","com",0,17,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,296162,12,1,13,1,"ar",99.9,,,,,6,0,6,0,6,0,6,0,0,6,0,6,0,6,0,0,
339,"Home - ربيع التقنية","rabietech.com",16,-1,0,6,40,2130,975,07/12/2024,18/02/2025,"104.21.9.36","104.21.9.0","US","com",0,18,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.01,954,18,5,23,5,"ar",100.0,,,,,6,0,6,0,6,0,6,0,6,0,0,6,0,6,0,0,
340,"نجومي - الصفحة الرئيسية","nojomy.com",172,-1,0,6,10145,18040,10429,25/10/2024,30/12/2024,"104.21.16.1","104.21.16.0","US","com",0,24,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,5683,5,0,5,0,"ar",100.0,,,,,6,0,3,3,6,0,6,0,6,0,0,6,0,6,0,0,
341,"بوابة المواطن المصري","almwatenalmasry.com",9,-1,0,6,125526,76978,72438,22/10/2024,04/02/2025,"104.21.32.1","104.21.32.0","US","com",8,20,"News/Media Industry",8,"News/Directories",7,"News/Newspapers",6,"Business/Directories",5,"Society/Philanthropy",4,,0,,0,,0,,0,,0,0.0,47612,28,4,32,2,"ar",99.9,,,,,6,0,6,0,6,0,6,0,6,0,0,6,0,6,0,0,
342,"الرئيسية - الموسوعة الدمشقية","damapedia.com",840,-1,0,6,1195,10329,4937,14/11/2024,18/02/2025,"198.54.114.251","198.54.114.0","US","com",6,22,"Computers/Internet",6,"Business/Business Services",5,"Arts/Literature",4,"Society/Issues",3,"Science/Social Sciences",2,,0,,0,,0,,0,,0,0.0,3450,55,15,70,4,"ar",99.9,,,,,6,0,5,1,6,0,6,0,6,0,0,6,0,6,0,0,
343,"SuperSimilars.com - Explore competitors & alternative sites","supersimilars.com",4,-1,0,6,4,1293,1293,29/11/2024,18/02/2025,"66.29.146.144","66.29.146.0","US","com",0,14,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0.0,1284,3,12,15,12,"en",100.0,,,,,11,5,10,1,10,1,0,11,11,0,0,11,0,6,5,0,
344,"المصري اليوم","almasryalyoum.com",8713,2935,0,5,462582,750634,151262,22/10/2024,18/02/2025,"172.67.5.133","172.67.5.0","US","com",53,53,"News/Newspapers",52,"News/Media Industry",35,"Society/Government",24,"Society/Issues",19,,0,,0,,0,,0,,0,,0,0.0,146331,65,3,68,3,"ar",99.9,,,,,5,0,5,0,5,0,5,0,5,0,0,5,0,5,0,0,
345,"بوابة الفجر","elfagr.org",1980,18528,0,5,324847,779614,216463,22/10/2024,18/02/2025,"104.21.84.12","104.21.84.0","US","org",43,50,"News/Media Industry",43,"News/Directories",15,"Society/Government",14,,0,,0,,0,,0,,0,,0,,0,0.0,151931,48,3,51,3,"ar",99.9,,,,,5,0,5,0,5,0,5,0,5,0,0,5,0,5,0,0,
346,,"www.ne.jp",23339,28513,0,5,5842401,495935,225422,22/10/2024,04/02/2025,"202.224.55.116","202.224.55.0","JP","jp",71,54,"Regional/Asia",50,"Arts/Comics",45,"Society/Religion and Spirituality",45,"Recreation/Outdoors",45,"Arts/Music",44,"Society/Issues",44,"Arts/Literature",42,"Arts/Photography",42,"Recreation/Travel",42,"Science/Biology",41,0.0,191202,9,5,14,1,"ja",89.9,"en",8.3,"da",1.1,5,0,5,0,5,0,5,0,5,0,5,0,0,5,0,0,
347,"موقع مكافحة الأخبار والمعلومات الكاذبة مسبار","misbar.com",1269,54111,0,5,22933,212218,163520,22/10/2024,04/02/2025,"23.49.251.215","23.49.251.0","US","com",16,37,"Society/Politics",16,"Society/Issues",11,"Reference/Education",10,"Arts/Television",8,"Society/History",8,"News/Breaking News",8,"News/Media Industry",8,"News/Newspapers",7,"Society/Organizations",7,"Society/Ethnicity",7,0.0,17848,29,2,31,1,"ar",99.3,"en",0.6,,,17,12,15,2,17,0,17,0,17,0,0,17,0,8,9,0,
348,"Login Links Repository and Troubleshooting Guide | LoginsLink","loginslink.com",803,59015,0,5,135182,2193897,483038,22/10/2024,18/02/2025,"104.26.13.144","104.26.13.0","US","com",1,45,"Regional/North America",1,"Computers/Internet/E-mail",1,"Society/Politics",1,,0,,0,,0,,0,,0,,0,,0,0.0,478426,28,6,34,4,"en",99.3,"de",0.1,"pt",0.1,5,0,5,0,5,0,5,0,0,5,0,5,0,5,0,0,
349,"Orange Maroc - Orange","orange.ma",1339,60272,0,5,26454,74436,72882,23/10/2024,04/02/2025,"41.205.208.7","41.205.208.0","MA","ma",34,39,"Business/Telecommunications",33,"Computers/Internet",24,"Business",24,"Sports/Soccer",16,"Reference/Education",15,"Regional/Europe",15,"Business/Transportation and Logistics",14,"Society",13,"Recreation/Boating",13,,0,0.0,20504,4,0,4,0,"fr",53.2,"ar",39.7,"en",7.0,7,2,2,5,7,0,7,0,7,0,0,7,0,5,2,0,
