"Topical Trust Flow","Topic","External Referring URLs","Links From Ref Domains","Ref Domains"
10,"Health/Organizations",10,94,27
10,"Games/Video Games/Recreation",9,78,12
10,"Computers/Software/System Management",7,40,9
10,"Computers/Software/Globalization",5,170,30
9,"Recreation/Scouting",1167,2176,68
9,"Sports/Boxing",286,1875,48
9,"Home/Gardening",271,19541,310
9,"Recreation/Theme Parks",237,68079,69
9,"Computers/Open Source",188,13479,296
9,"Business/News and Media",171,17143,135
9,"Society/Crime",96,395,59
9,"Recreation/Roads and Highways",86,16894,53
9,"Games/Video Games/Puzzle",74,3565,25
9,"Society/Transgender",72,16804,67
9,"Sports",62,1714,66
9,"News/Extended Coverage",54,10,3
9,"Arts/Bodyart",28,72194,11
9,"Sports/Skating",18,20476,26
9,"Computers/Programming/Games",17,69,14
9,"Computers/Internet/Child Safety",16,668,38
9,"Sports/Walking",14,28,10
9,"Computers/Internet/History",8,549,23
9,"News/Internet Broadcasts",3,1197,17
9,"Reference/Time",1,14428,9
9,"World/Svenska",1,1533,4
8,"Sports/Martial Arts",311,7271,98
8,"Health/Reproductive Health",124,1626,113
8,"Shopping/Directories",106,1181,17
8,"Health/Addictions",90,460,85
8,"Computers/Software/Industry-Specific",57,304,37
8,"Shopping/Jewelry",42,15046,68
8,"Recreation/Antiques",41,530,40
8,"Games/Video Games/Platform",31,4267,34
8,"Games/Miniatures",27,343,29
8,"Society/Future",26,394,76
8,"Home/Home Improvement",24,1119,68
8,"Sports/Rodeo",23,17,3
8,"Shopping/Children",18,176,26
8,"Health/Senses",13,122,10
8,"Business/Environment",12,2429,28
8,"Recreation/Birding",11,332,40
8,"Shopping/Toys and Games",11,188,29
8,"Science",9,613,40
8,"Computers/Software/Business Drawing",6,101,13
8,"Recreation/Models",5,4944,55
8,"Arts/Digital",4,1636,40
8,"Reference/Almanacs",2,49,11
8,"Science/Instruments and Supplies",2,45,12
7,"Regional/Oceania",290,69392,70
7,"Recreation/Drugs",217,14040,21
7,"Games/Video Games/Emulation",137,27590,23
7,"Health/Nutrition",127,3633,81
7,"Computers/Computer Science/Theoretical",110,20729,28
7,"Sports/Croquet",53,794,9
7,"Computers/Shopping",32,202,28
7,"Health/Pharmacy",27,502,38
7,"News/Museums and Archives",25,7696,36
7,"Health/Women's Health",21,770,43
7,"Shopping/Photography",19,15656,25
7,"Health/Animal",19,117784,97
7,"Computers/Internet/WWW",12,20,7
7,"Computers/Hacking",9,1124,49
7,"Computers/Software/Human Resources",9,152,29
7,"Science/Research Groups and Centers",6,469,22
7,"Computers/Computer Science/Distributed Computing",5,2126,31
7,"Health/Men's Health",5,54,12
7,"Computers/Programming/Development Tools",3,63,25
6,"Computers/Internet/Abuse",478,273,44
6,"Computers/Internet/Domain Names",314,8451,102
6,"Adult/World",234,140476,609
6,"Adult/Regional",216,146422,671
6,"Reference/Maps",62,133959,445
6,"Adult/Computers",59,706,59
6,"Computers/Software/Groupware",57,257,23
6,"Home/Do-It-Yourself",39,2117,48
6,"Regional/Middle East",33,1297,72
6,"Computers/Programming/Component Frameworks",23,242,32
6,"Games/Video Games/Chats and Forums",21,154,15
6,"Sports/Cricket",20,15015,18
6,"Health/Beauty",7,368,50
6,"Adult/News",7,3156,24
6,"Business/Education and Training",6,1068,42
6,"Sports/Fencing",6,48,8
6,"Computers/Internet/Cloud Computing",5,45,8
6,"Computers/Internet/Broadcasting",5,291,28
6,"Computers/Software/Information Retrieval",3,334,7
6,"Business/Information Services",2,19,6
6,"Computers/Software/Rentable",1,1,1
5,"Business/Textiles and Nonwovens",138,3861,233
5,"Science/Chemistry",69,364,57
5,"Shopping/Sports",51,638,64
5,"Business/Resources",40,280,33
5,"Computers/Software/Business",35,4855,43
5,"Regional",34,499,65
5,"Home/Homemaking",30,330,46
5,"Society/Sexuality",23,48404,50
5,"Computers/Software/Retailers",17,67,15
5,"Recreation/Trains and Railroads",15,23239,35
5,"Reference/Ask an Expert",14,986,22
5,"Sports/Track and Field",12,199,43
5,"Computers/Software/Marketing",11,40074,16
5,"Computers/E-Books",10,13133,16
5,"Adult/Image Galleries",9,379,39
5,"Arts/Classical Studies",7,133,19
5,"Computers/Programming",7,43,7
5,"Shopping/Pets",7,218,27
5,"Shopping/Auctions",6,78,11
5,"Computers/Software/Fonts",5,226,11
5,"Computers/Programming/Personal Pages",5,327,46
5,"Sports/Organizations",4,146,9
5,"Computers/Software/Help Desk",3,72,10
5,"Science/Organizations",3,344,29
5,"Business/Aerospace and Defense",3,7716,39
5,"Computers/Software/Device Drivers",2,57,11
5,"Science/Directories",2,7500,18
4,"Games/Video Games/Driving and Racing",132,256,21
4,"Computers/Desktop Publishing",91,463,20
4,"Games/Video Games/Game Design",62,940,22
4,"Shopping/Antiques and Collectibles",37,17750,74
4,"Health/Professions",26,80,24
4,"Home/News and Media",25,17751,53
4,"Computers/Software/Project Management",25,1078,29
4,"Computers/Programming/Methodologies",21,1178,37
4,"Shopping/Crafts",21,378,66
4,"Arts/Directories",21,136,30
4,"Computers/CAD and CAM",19,387,17
4,"Games/Conventions",19,1148,21
4,"Computers/Internet/Etiquette",14,634323,8
4,"Computers/Internet/Consultants",11,247,15
4,"Business/Human Resources",10,145,39
4,"Computers/Software/Networking",10,2469,43
4,"Games/Video Games/Clans and Guilds",8,139,14
4,"Computers/Software/Software Engineering",7,73,14
4,"Home/Urban Living",7,178,18
4,"Health/Education",7,825,23
4,"Sports/Gaelic",5,54531,9
4,"Business/Chemicals",4,28366,60
4,"Health/Services",1,1,1
4,"Computers/Algorithms",1,97,5
4,"Computers/Software/Presentation",1,4,3
4,"Sports/Squash",1,14,4
3,"Computers/Internet/Protocols",74,409,82
3,"Games/Video Games/Action",29,1541,45
3,"Home/Rural Living",29,265,12
3,"Recreation/Parties",12,13,5
3,"Shopping/Weddings",7,19,3
3,"Business/Mining and Drilling",7,19,9
3,"Health/Occupational Health and Safety",5,20,11
3,"Computers/Software/Document Management",5,493,22
3,"Health/Weight Loss",5,160,16
3,"Games/Coin-Op",4,102,20
3,"Shopping/Office Products",4,51,10
3,"Computers/Home Automation",3,23,9
3,"Business/Business and Society",3,337,17
3,"Computers/Programming/Libraries",2,18,7
3,"Games/Tile Games",2,43,6
3,"Business/Wholesale Trade",2,28,8
3,"Shopping/Niche",1,4169,13
3,"Home/Moving and Relocating",1,1,1
3,"Sports/Gymnastics",1,61,7
2,"Computers/Chats and Forums",115,601,60
