Domain,CountryCode,BackLinks_primevideo.com,BackLinks_tv.apple.com,BackLinks_max.com
lostfilm.tv,US,10,52,6
aftrs.edu.au,US,41,51,0
komputronik.pl,US,18,9,59
wrongplanet.net,US,0,2,5
hometheaterforum.com,US,0,54,4
fayerwayer.com,EU,22,8,12
charitybuzz.com,US,0,9,2
movieguide.org,US,0,21483,7
dailyrecord.com,SE,0,3,1
programme-tv.net,IE,7010,83,2461
firstalert4.com,US,0,13,2
focusfeatures.com,US,6,368,0
capradio.org,US,0,2,6
thebump.com,US,0,3,2
loudersound.com,US,0,96,1
idahostatesman.com,US,0,10,7
pressdemocrat.com,US,0,5,4
phillymag.com,US,0,2,1
hbomax.com,US,8,0,68089
kentucky.com,US,0,12,6
yourtango.com,US,0,5,1
theroot.com,US,0,7,6
denver7.com,US,0,4,1
pennlive.com,US,5,61,33
bgr.com,US,24,549,170
detik.com,ID,13,0,11
firstpost.com,NL,9,6,0
newrepublic.com,US,0,13,4
inquirer.com,US,0,20,12
gaumont.com,CH,6,2,0
moviemeter.nl,US,2523,477,3
radiopopolare.it,US,194,193,0
geenstijl.nl,US,1268,0,1
cineserie.com,US,99,11,3
tdf.org,US,0,15,10
playground.ru,RU,3,4,0
azcommerce.com,US,2,5,0
rova.nz,CA,2,3,0
ideastream.org,US,0,251,11
tidbits.com,US,0,5,3
augustachronicle.com,US,0,2,1
opovo.com.br,US,8,0,1
lecho.be,BE,2,3,0
southbendtribune.com,US,17,15,10
bisnis.com,US,4,3,1
beaconjournal.com,SE,2,8,1
news-journalonline.com,SE,5,22,2
popmatters.com,US,2,14,2
thenewstribune.com,US,0,26,3
kinsta.cloud,US,0,3,1
earthweb.com,US,7,7,8
clickondetroit.com,US,0,18,9
providencejournal.com,US,2,6,3
robbreport.com,US,0,3,1
masslive.com,US,3,29,176
glamour.com,US,0,12,4
buzzfeed.com,US,186,254,37
giphy.com,US,7,4,145
filmtotaal.nl,RO,2205,92,249
vprogids.nl,NL,10,10,8
telcel.com,US,7,0,12
persephonebooks.co.uk,CA,4,4,0
arcom.fr,FR,3,0,1
southernsavers.com,EU,0,7,6
inside-digital.de,DE,2,13,0
stnicholascenter.org,US,0,2,2
kalw.org,US,0,17,14
newsherald.com,US,2,7,1
lactualite.com,US,2,2,0
lpm.org,US,0,3,1
moviemaker.com,US,0,3,3
nationalworld.com,US,5,28,7
thefutoncritic.com,HK,51,808,558
gizmodo.jp,US,2,8,0
jconline.com,US,21,16,14
dreadcentral.com,US,3,27,96
discoveryplus.com,US,12,0,15
autostraddle.com,US,0,71,172
torontolife.com,US,18,6,0
diariodesevilla.es,CZ,14,4,1
alaskapublic.org,US,0,54,1
